work_year,experience_level,salary,employee_residence,remote_ratio,company_size,company_location,company_location_name,company_location_continent,salary_binned,job_title,job_category
2023,Senior,85847,ES,Full-Remote,Large,ES,Spain,Europe,50k-100k,Principal Data Scientist,Data Science & Analytics
2023,Intermediate,30000,US,Full-Remote,Small,US,United States,North America,0k-50k,ML Engineer,Machine Learning & AI
2023,Intermediate,25500,US,Full-Remote,Small,US,United States,North America,0k-50k,ML Engineer,Machine Learning & AI
2023,Senior,175000,CA,Full-Remote,Medium,CA,Canada,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,120000,CA,Full-Remote,Medium,CA,Canada,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,222200,US,On-Site,Large,US,United States,North America,200k-250k,Applied Scientist,Data Science & Analytics
2023,Senior,136000,US,On-Site,Large,US,United States,North America,100k-150k,Applied Scientist,Data Science & Analytics
2023,Senior,219000,CA,On-Site,Medium,CA,Canada,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,141000,CA,On-Site,Medium,CA,Canada,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,147100,US,On-Site,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,90700,US,On-Site,Medium,US,United States,North America,50k-100k,Data Scientist,Data Science & Analytics
2023,Senior,130000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,100000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Entry,213660,US,On-Site,Large,US,United States,North America,200k-250k,Applied Scientist,Data Science & Analytics
2023,Entry,130760,US,On-Site,Large,US,United States,North America,100k-150k,Applied Scientist,Data Science & Analytics
2023,Senior,147100,US,On-Site,Medium,US,United States,North America,100k-150k,Data Modeler,Data Engineering & Infrastructure
2023,Senior,90700,US,On-Site,Medium,US,United States,North America,50k-100k,Data Modeler,Data Engineering & Infrastructure
2023,Senior,170000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,150000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Intermediate,150000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Analyst,Data Science & Analytics
2023,Intermediate,110000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,275000,DE,On-Site,Medium,DE,Germany,Europe,,Research Engineer,Data Science & Analytics
2023,Senior,174000,DE,On-Site,Medium,DE,Germany,Europe,150k-200k,Research Engineer,Data Science & Analytics
2023,Senior,230000,GB,Full-Remote,Medium,GB,United Kingdom,Europe,200k-250k,Analytics Engineer,Data Science & Analytics
2023,Senior,143200,GB,Full-Remote,Medium,GB,United Kingdom,Europe,100k-150k,Analytics Engineer,Data Science & Analytics
2023,Senior,225000,US,On-Site,Medium,US,United States,North America,200k-250k,Business Intelligence Engineer,Business Intelligence
2023,Senior,156400,US,On-Site,Medium,US,United States,North America,150k-200k,Business Intelligence Engineer,Business Intelligence
2023,Senior,200000,US,On-Site,Medium,US,United States,North America,200k-250k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,130000,US,On-Site,Medium,US,United States,North America,100k-150k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,90000,CA,On-Site,Medium,CA,Canada,North America,50k-100k,Data Strategist,Management & Leadership
2023,Senior,72000,CA,On-Site,Medium,CA,Canada,North America,50k-100k,Data Strategist,Management & Leadership
2023,Senior,253200,US,On-Site,Medium,US,United States,North America,,Data Engineer,Data Engineering & Infrastructure
2023,Senior,90700,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,342810,US,On-Site,Medium,US,United States,North America,>300k,Computer Vision Engineer,Specialized Roles
2023,Senior,184590,US,On-Site,Medium,US,United States,North America,150k-200k,Computer Vision Engineer,Specialized Roles
2023,Intermediate,162500,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,130000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,105380,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Intermediate,64500,US,On-Site,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Entry,100000,NG,Full-Remote,Large,NG,Nigeria,Africa,100k-150k,Data Quality Analyst,Data Science & Analytics
2023,Entry,30000,NG,Full-Remote,Large,NG,Nigeria,Africa,0k-50k,Compliance Data Analyst,Data Science & Analytics
